artist,song_name,genre,fundamental_freq,freq_e_1,freq_e_2,freq_e_3,key,duration,zero_crossing_rate,mfcc_mean,mfcc_std,tempo,rms_energy,artist_enc,song_name_enc,genre_enc,key_enc,grey_png
AC/DC,Back In Black,Hard Rock,103.1297801,51133292.0,47774508.0,34309084.0,E,253.86,0.102981387,2.187186718,54.62176132,93.96306818,0.181688204,45,181,9,4,C:\Users\Mr_Green\OneDrive\Desktop\0_Sum_25\INFO_523\0_Final_Proj_N\wav_files\_wav_grey_mel\AC_DC_Back In Black_gray.png
AC/DC,Highway to Hell,Hard Rock,134.3366805,25148342.0,22502282.0,18190884.0,G#,207.06,0.09086346,1.174704671,57.80268478,114.84375,0.173993886,45,180,9,9,C:\Users\Mr_Green\OneDrive\Desktop\0_Sum_25\INFO_523\0_Final_Proj_N\wav_files\_wav_grey_mel\AC_DC_Highway to Hell_gray.png
AC/DC,Thunderstruck,Hard Rock,118.6251844,118558984.0,78184456.0,64474420.0,B,292.94,0.088295307,6.726895809,48.7127533,132.5120192,0.207881033,45,184,9,2,C:\Users\Mr_Green\OneDrive\Desktop\0_Sum_25\INFO_523\0_Final_Proj_N\wav_files\_wav_grey_mel\AC_DC_Thunderstruck_gray.png
AC/DC,You Shook Me All Night Long,Hard Rock,121.1822008,67231432.0,41012268.0,23928542.0,D,208.06,0.09962921,4.342265606,49.04414749,129.1992188,0.193273365,45,182,9,0,C:\Users\Mr_Green\OneDrive\Desktop\0_Sum_25\INFO_523\0_Final_Proj_N\wav_files\_wav_grey_mel\AC_DC_You Shook Me All Night Long_gray.png
Adele,Easy on Me,Pop,129.7364461,87335288.0,81779504.0,76935648.0,F,225.7,0.03820436,2.151135683,72.90788269,143.5546875,0.211765155,4,13,0,5,C:\Users\Mr_Green\OneDrive\Desktop\0_Sum_25\INFO_523\0_Final_Proj_N\wav_files\_wav_grey_mel\Adele_Easy on Me_gray.png
Adele,Hello,Pop,125.1633066,97515040.0,86164744.0,74863200.0,G#,366.86,0.042996673,-0.214265689,81.61715698,156.6051136,0.185486466,4,20,0,9,C:\Users\Mr_Green\OneDrive\Desktop\0_Sum_25\INFO_523\0_Final_Proj_N\wav_files\_wav_grey_mel\Adele_Hello_gray.png
Adele,Rolling in the Deep,Pop,166.8310197,27822364.0,13222402.0,12658445.0,G,233.9,0.051214516,-1.778827906,77.13275909,105.46875,0.092186943,4,17,0,1,C:\Users\Mr_Green\OneDrive\Desktop\0_Sum_25\INFO_523\0_Final_Proj_N\wav_files\_wav_grey_mel\Adele_Rolling in the Deep_gray.png
Adele,Someone Like You,Pop,145.1190534,39760800.0,30102380.0,29299000.0,A,284.94,0.045552723,-4.820614815,76.39929962,135.9991776,0.159008816,4,18,0,3,C:\Users\Mr_Green\OneDrive\Desktop\0_Sum_25\INFO_523\0_Final_Proj_N\wav_files\_wav_grey_mel\Adele_Someone Like You_gray.png
Aerosmith,Crazy,Hard Rock,87.17077644,132169096.0,112240624.0,89336688.0,A,373.2,0.077311638,6.443183899,54.85825729,161.4990234,0.189728275,48,199,9,3,C:\Users\Mr_Green\OneDrive\Desktop\0_Sum_25\INFO_523\0_Final_Proj_N\wav_files\_wav_grey_mel\Aerosmith_Crazy_gray.png
Aerosmith,Dream On,Hard Rock,100.0197313,20519604.0,20083894.0,16193360.0,F,268.22,0.057065692,-2.168643475,79.67222595,78.30255682,0.103238426,48,193,9,5,C:\Users\Mr_Green\OneDrive\Desktop\0_Sum_25\INFO_523\0_Final_Proj_N\wav_files\_wav_grey_mel\Aerosmith_Dream On_gray.png
