n_neighbors,weights,algorithm,p,mean_f1_score
1,uniform,auto,1,0.145
1,uniform,auto,2,0.145
1,uniform,kd_tree,1,0.145
1,uniform,kd_tree,2,0.145
1,uniform,ball_tree,1,0.145
1,uniform,ball_tree,2,0.145
1,distance,auto,1,0.145
1,distance,auto,2,0.145
1,distance,kd_tree,1,0.145
1,distance,kd_tree,2,0.145
1,distance,ball_tree,1,0.145
1,distance,ball_tree,2,0.145
3,uniform,auto,1,0.125
3,uniform,auto,2,0.125
3,uniform,kd_tree,1,0.125
3,uniform,kd_tree,2,0.125
3,uniform,ball_tree,1,0.125
3,uniform,ball_tree,2,0.125
3,distance,auto,1,0.15
3,distance,auto,2,0.15
3,distance,kd_tree,1,0.15
3,distance,kd_tree,2,0.15
3,distance,ball_tree,1,0.15
3,distance,ball_tree,2,0.15
5,uniform,auto,1,0.12
5,uniform,auto,2,0.12
5,uniform,kd_tree,1,0.12
5,uniform,kd_tree,2,0.12
5,uniform,ball_tree,1,0.12
5,uniform,ball_tree,2,0.12
5,distance,auto,1,0.15
5,distance,auto,2,0.15
5,distance,kd_tree,1,0.15
5,distance,kd_tree,2,0.15
5,distance,ball_tree,1,0.15
5,distance,ball_tree,2,0.15
7,uniform,auto,1,0.12
7,uniform,auto,2,0.12
7,uniform,kd_tree,1,0.12
7,uniform,kd_tree,2,0.12
7,uniform,ball_tree,1,0.12
7,uniform,ball_tree,2,0.12
7,distance,auto,1,0.14
7,distance,auto,2,0.14
7,distance,kd_tree,1,0.14
7,distance,kd_tree,2,0.14
7,distance,ball_tree,1,0.14
7,distance,ball_tree,2,0.14
9,uniform,auto,1,0.115
9,uniform,auto,2,0.115
9,uniform,kd_tree,1,0.115
9,uniform,kd_tree,2,0.115
9,uniform,ball_tree,1,0.115
9,uniform,ball_tree,2,0.115
9,distance,auto,1,0.15
9,distance,auto,2,0.15
9,distance,kd_tree,1,0.15
9,distance,kd_tree,2,0.15
9,distance,ball_tree,1,0.15
9,distance,ball_tree,2,0.15
11,uniform,auto,1,0.13
11,uniform,auto,2,0.13
11,uniform,kd_tree,1,0.13
11,uniform,kd_tree,2,0.13
11,uniform,ball_tree,1,0.13
11,uniform,ball_tree,2,0.13
11,distance,auto,1,0.14
11,distance,auto,2,0.14
11,distance,kd_tree,1,0.14
11,distance,kd_tree,2,0.14
11,distance,ball_tree,1,0.14
11,distance,ball_tree,2,0.14
13,uniform,auto,1,0.135
13,uniform,auto,2,0.135
13,uniform,kd_tree,1,0.135
13,uniform,kd_tree,2,0.135
13,uniform,ball_tree,1,0.135
13,uniform,ball_tree,2,0.135
13,distance,auto,1,0.14
13,distance,auto,2,0.14
13,distance,kd_tree,1,0.14
13,distance,kd_tree,2,0.14
13,distance,ball_tree,1,0.14
13,distance,ball_tree,2,0.14
15,uniform,auto,1,0.135
15,uniform,auto,2,0.135
15,uniform,kd_tree,1,0.135
15,uniform,kd_tree,2,0.135
15,uniform,ball_tree,1,0.135
15,uniform,ball_tree,2,0.135
15,distance,auto,1,0.15
15,distance,auto,2,0.15
15,distance,kd_tree,1,0.15
15,distance,kd_tree,2,0.15
15,distance,ball_tree,1,0.15
15,distance,ball_tree,2,0.15
17,uniform,auto,1,0.14
17,uniform,auto,2,0.14
17,uniform,kd_tree,1,0.14
17,uniform,kd_tree,2,0.14
17,uniform,ball_tree,1,0.14
17,uniform,ball_tree,2,0.14
17,distance,auto,1,0.14
17,distance,auto,2,0.14
17,distance,kd_tree,1,0.14
17,distance,kd_tree,2,0.14
17,distance,ball_tree,1,0.14
17,distance,ball_tree,2,0.14
19,uniform,auto,1,0.145
19,uniform,auto,2,0.145
19,uniform,kd_tree,1,0.145
19,uniform,kd_tree,2,0.145
19,uniform,ball_tree,1,0.145
19,uniform,ball_tree,2,0.145
19,distance,auto,1,0.14
19,distance,auto,2,0.14
19,distance,kd_tree,1,0.14
19,distance,kd_tree,2,0.14
19,distance,ball_tree,1,0.14
19,distance,ball_tree,2,0.14
