User,Artist,songs,Category,Region
Nathan,Audioslave,"['Like a Stone', 'Cochise', 'Show Me How to Live']","['Alternative rock / hard rock / post?grunge', 'Hard rock / alternative metal', 'Hard rock']",['United States']
Nathan,Rob Zombie,"['Dragula', 'Get Your Boots On ! That's The End Of Rock And Roll', 'More Human Than Human']","['Industrial metal', 'Heavy metal', 'Industrial metal / alternative metal']",
Nathan,Billy Joel,"['I Go To Extremes', 'Uptown Girl', 'A Matter Of Trust']",,
Nathan,Motorhead,"['Ace of Spades', 'Overkill', 'Born to Raise Hell']",,
Nathan,Electric Six,"['Danger! High Voltage', 'Gay Bar', 'Dance Commander']",,
Nathan,Ratt,"['Round and Round', 'Lay It Down', 'Wanted Man']",,
Nathan,Van Halen,"['Jump', 'Panama', 'Hot for Teacher']",,
Nathan,The Hives,"['Hate To Say I Told You So', 'Tick Tick Boom', 'Walk Idiot Walk']",,
Nathan,The White Stripes,"['Seven Nation Army', 'Icky Thump', 'Blue Orchid']",,
Nathan,Velvet Revolver,"['Slither', 'Fall to Pieces', 'She Builds Quick Machines']",,
Nathan,Violent Femmes,"['Blister in the Sun', 'Add It Up', 'Kiss Off']",,
Nathan,George Michael,"['Careless Whisper,', 'George Michael-I'm Your Man-Live at Earls Court 2008', 'Faith.']",,
Nathan,Olivia Newton John,"['Make A Move On Me', 'Magic', 'Physical']",,
Nathan,Poison,"['Every Rose Has Its Thorn', 'Talk Dirty to Me', ""Nothin' But a Good Time""]",,
Nathan,The Pretenders,"['Brass in Pocket', 'Back on the Chain Gang', ""Don't Get Me Wrong""]",,
Nathan,The Doors,"['Light My Fire', 'Riders on the Storm', 'Break On Through (To the Other Side)']",,
Nathan,Robbie Dupree,"['Steal Away', 'Hot Rod Hearts', 'Brooklyn Girls']",,
Nathan,Sara Bareilles,"['Love Song', 'Bottle It Up', 'Gonna Get Over You']",,
Nathan,Silverchair,"['Tomorrow', 'Freak', 'Straight Lines']",,
Nathan,Stone Sour,"['Through Glass', 'Bother', 'Rose Red Violent Blue (This Song Is Dumb & So Am I)']",,
Nathan,Ronnie Milsap,"['Smoky Mountain Rain', ""(There's) No Gettin' Over Me"", 'Stranger in My House']",,
Nathan,Steve Earle,"['Guitar Town', 'Copperhead Road', 'I Feel Alright']",,
Nathan,Sum 41,"['Fat Lip', 'In Too Deep', 'The Hell Song']",,
Nathan,Talking Heads,"['Psycho Killer', 'Once in a Lifetime', 'and This Must Be the Place (Naive Melody)']",,
Nathan,Carly Rae Jepsen,"['Call Me Maybe', 'The Loneliest Time (feat. Rufus Wainwright),', 'Your Type']",,
Nathan,The All-American Rejects,"['Swing, Swing', 'Dirty Little Secret', 'Gives You Hell']",,
Nathan,The B-52s,"['Love Shack', 'Rock Lobster', 'and Roam']",,
Nathan,The Revivalists,"['Wish I Knew You', 'Soulfight', 'It Was A Sin']",,
Nathan,Kongos,"['Come with Me Now', 'Take It From Me', ""I'm Only Joking""]",,
Nathan,Vampire Weekend,"['A-Punk', 'Oxford Comma', 'Diane Young']",,
Nathan,Volbeat,"[""A Warrior's Call"", 'Lola Montez', 'Still Counting']",,
Nathan,AC/DC,"['Highway to Hell', 'Back in Black', 'Thunderstruck']",,
Nathan,Olivia Rodrigo,"['drivers license', 'good 4 u', 'vampire']",,
Nathan,Harry Styles,"['As It Was', 'Watermelon Sugar', 'Adore You']",,
Nathan,Dua Lipa,"['Levitating', ""Don't Start Now"", 'New Rules']",,
Nathan,Foo Fighters,"['Best of You', 'Everlong', 'The Pretender']",,
Nathan,Weezer,"[""Say It Ain't So"", 'Buddy Holly', 'Hash Pipe']",,
Nathan,The HU,"[""Shoog Shoog"",""""The Gereg "",""Yuve Yuve Yu""]",,
