User,Artist,Songs,Category,Region,YT_link,File_wav,File_mp3
Nathan,Audioslave,"['Like a Stone', 'Cochise', 'Show Me How to Live']","['Alternative rock / hard rock / post-grunge', 'Hard rock / alternative metal', 'Hard rock']",['United States'],"[""https://www.youtube.com/watch?v=KX-t_Y-AzWY"", ""https://www.youtube.com/watch?v=KDMvN45sjo4"", ""https://www.youtube.com/watch?v=vVXIK1xCRpY""]","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\AUDIOSLAVE - LIKE A STONE (lyrics).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Audioslave - Cochise (Official Video).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Audioslave - Show Me How to Live (Official Video).wav']","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\AUDIOSLAVE - LIKE A STONE (lyrics)_5.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Audioslave - Cochise (Official Video)_5.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Audioslave - Show Me How to Live (Official Video)_5.mp3']"
Nathan,Rob Zombie,"['Dragula', 'Get Your Boots On ! That's The End Of Rock And Roll', 'More Human Than Human']","['Industrial metal', 'Heavy metal', 'Industrial metal / alternative metal']",['United States'],"[https://www.youtube.com/watch?v=EqQuihD0hoI, https://www.youtube.com/watch?v=43nqQirbCL4, https://www.youtube.com/watch?v=E0E0ynyIUsg]",nan,nan
Nathan,Billy Joel,"['I Go To Extremes', 'Uptown Girl', 'A Matter Of Trust']","['Pop rock', 'Pop rock / soft rock', 'Pop rock']",['United States'],"[""https://www.youtube.com/watch?v=5xgjtm4_M20"", ""https://www.youtube.com/watch?v=hCuMWrfXG4E"", ""https://www.youtube.com/watch?v=hCuMWrfXG4E""]","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Billy Joel - I Go To Extremes (Official Video).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Billy Joel - Uptown Girl (Official Video).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Billy Joel - Uptown Girl (Official Video).wav']","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Billy Joel - I Go To Extremes (Official Video)_3.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Billy Joel - Uptown Girl (Official Video)_6.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Billy Joel - Uptown Girl (Official Video)_7.mp3']"
Nathan,Motorhead,"['Ace of Spades', 'Overkill', 'Born to Raise Hell']","['Heavy metal / speed metal', 'Heavy metal / speed metal', 'Heavy metal']",['United Kingdom'],"[""https://www.youtube.com/watch?v=3mbvWn1EY6g"", ""https://www.youtube.com/watch?v=MlzTET_8SQg"", ""https://www.youtube.com/watch?v=lFbnQQ6t98Q""]","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Motörhead – Ace Of Spades (Official Video).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Motörhead – Overkill (Official Video).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Born To Raise Hell.wav']","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Motörhead – Ace Of Spades (Official Video)_3.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Motörhead – Overkill (Official Video)_3.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Born To Raise Hell_3.mp3']"
Nathan,Electric Six,"['Danger! High Voltage', 'Gay Bar', 'Dance Commander']","['Rock / dance-rock', 'Rock / dance-rock', 'Rock']",['United States'],"[""https://www.youtube.com/watch?v=kYDw0UAp17A"", ""https://www.youtube.com/watch?v=IslF_EyhMzg"", ""https://www.youtube.com/watch?v=BzabCVOBUJI""]","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Electric Six - Danger! High Voltage.wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Electric Six - Gay Bar HD.wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Dance Commander.wav']","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Electric Six - Danger! High Voltage_3.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Electric Six - Gay Bar HD_3.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Dance Commander_3.mp3']"
Nathan,Ratt,"['Round and Round', 'Lay It Down', 'Wanted Man']","['Glam metal / hard rock', 'Glam metal / hard rock', 'Glam metal / hard rock']",['United States'],"[""https://www.youtube.com/watch?v=0u8teXR8VE4"", ""https://www.youtube.com/watch?v=27NMF6u14DU"", ""https://www.youtube.com/watch?v=9-TcWYnsEiM""]","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\RATT - Round And Round (Official Music Video).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\RATT - Lay It Down (Official Music Video).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\RATT - Wanted Man (Official Music Video).wav']","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\RATT - Round And Round (Official Music Video)_3.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\RATT - Lay It Down (Official Music Video)_3.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\RATT - Wanted Man (Official Music Video)_3.mp3']"
Nathan,Van Halen,"['Jump', 'Panama', 'Hot for Teacher']","['Hard rock', 'Hard rock', 'Hard rock']",['United States'],"[""https://www.youtube.com/watch?v=SwYN7mTi6HM"", ""https://www.youtube.com/watch?v=fuKDBPw8wQA"", ""https://www.youtube.com/watch?v=6M4_Ommfvv0""]","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Van Halen - Jump (Official Music Video) [HD].wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Van Halen - Panama (Official Music Video).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Van Halen - Hot For Teacher (Official Music Video).wav']","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Van Halen - Jump (Official Music Video) [HD]_1.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Van Halen - Panama (Official Music Video)_1.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Van Halen - Hot For Teacher (Official Music Video)_1.mp3']"
Nathan,The Hives,"['Hate To Say I Told You So', 'Tick Tick Boom', 'Walk Idiot Walk']","['Garage rock revival', 'Garage rock revival', 'Garage rock revival']",['Sweden'],"[""https://www.youtube.com/watch?v=Uz1Jwyxd4tE"", ""https://www.youtube.com/watch?v=1M02bAWDFkI"", ""https://www.youtube.com/watch?v=pUw-tF9PNeA""]","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\The Hives - Hate to Say I Told You So (Official Music Video).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\The Hives - Tick Tick Boom (Official Video).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\The Hives Walk Idiot Walk HQ Audio.wav']","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\The Hives - Hate to Say I Told You So (Official Music Video)_1.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\The Hives - Tick Tick Boom (Official Video)_1.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\The Hives Walk Idiot Walk HQ Audio_1.mp3']"
Nathan,The White Stripes,"['Seven Nation Army', 'Icky Thump', 'Blue Orchid']","['Garage rock', 'Garage rock', 'Garage rock']",['United States'],"[""https://www.youtube.com/watch?v=0J2QdDbelmY"", ""https://www.youtube.com/watch?v=1OjTspCqvk8"", ""https://www.youtube.com/watch?v=hkKSagYpf9A""]","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\The White Stripes - Seven Nation Army (Official Music Video).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\The White Stripes - Icky Thump (Official Music Video).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Blue Orchid.wav']","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\The White Stripes - Seven Nation Army (Official Music Video)_1.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\The White Stripes - Icky Thump (Official Music Video)_1.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Blue Orchid_1.mp3']"
Nathan,Velvet Revolver,"['Slither', 'Fall to Pieces', 'She Builds Quick Machines']","['Hard rock', 'Hard rock', 'Hard rock']",['United States'],"[""https://www.youtube.com/watch?v=BKz2U4fvA4U"", ""https://www.youtube.com/watch?v=9JhsUFuqbCM"", ""https://www.youtube.com/watch?v=4Hqe3jMHhvA""]","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Velvet Revolver - Slither (Official Video).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Velvet Revolver - Fall To Pieces (Official Video).wav', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\wav\\Velvet Revolver - She Builds Quick Machines (Official Video).wav']","['C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Velvet Revolver - Slither (Official Video)_1.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Velvet Revolver - Fall To Pieces (Official Video)_1.mp3', 'C:\\Users\\Mr_Green\\OneDrive\\Desktop\\0_Sum_25\\INFO_523\\HWs\\group_project\\Yashis_Suite\\Final_org_attempt_mk1\\Nathans_processed_music_list\\mp3\\Velvet Revolver - She Builds Quick Machines (Official Video)_1.mp3']"
