User,Artist,Songs,Categories,Region,YT_link,File_mp3,File_wav
Yahis,A Great Big World & Christina Aguilera,['Say Something'],['Deep & Dramatic'],USA,"[""https://www.youtube.com/watch?v=tV3uXVBydcI""]","['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/mp3/A Great Big World, Christina Aguilera - Say Something (Lyrics).mp3']","['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/wav/A Great Big World, Christina Aguilera - Say Something (Lyrics).wav']"
Yahis,A-ha,['Take on Me'],['Pop Hits'],Norway,"[""https://www.youtube.com/watch?v=djV11Xbc914""]",['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/mp3/a-ha - Take On Me (Official Video) [4K].mp3'],['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/wav/a-ha - Take On Me (Official Video) [4K].wav']
Yahis,ABBA,"['Dancing Queen', 'Dancing Queen']","['Classic & Retro', 'Pop Hits']",Sweden,"[""https://www.youtube.com/watch?v=xFrGuyw1V8s"", ""https://www.youtube.com/watch?v=xFrGuyw1V8s""]","['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/mp3/ABBA - Dancing Queen (Official Music Video).mp3', '/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/mp3/ABBA - Dancing Queen (Official Music Video)_1.mp3']","['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/wav/ABBA - Dancing Queen (Official Music Video).wav', '/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/wav/ABBA - Dancing Queen (Official Music Video).wav']"
Yahis,Adele,"['Someone Like You', 'Rolling in the Deep']","['Pop Hits', 'Pop Hits']",UK,"[""https://www.youtube.com/watch?v=hLQl3WQQoQ0"", ""https://www.youtube.com/watch?v=rYEDA3JcQqw""]","['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/mp3/Adele - Someone Like You (Official Music Video).mp3', '/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/mp3/Adele - Rolling in the Deep (Official Music Video).mp3']","['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/wav/Adele - Someone Like You (Official Music Video).wav', '/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/wav/Adele - Rolling in the Deep (Official Music Video).wav']"
Yahis,Ailee,['Heaven'],['Deep & Dramatic'],Korea,"[""https://www.youtube.com/watch?v=L9ro1KjkJMg""]",['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/mp3/Ailee(에일리) _ Heaven MV.mp3'],['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/wav/Ailee(에일리) _ Heaven MV.wav']
Yahis,Alphaville,['Forever Young'],['Pop Hits'],Germany,"[""https://www.youtube.com/watch?v=YHRvDo8rUoQ""]",['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/mp3/Alphaville - Forever Young (Official Video HD).mp3'],['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/wav/Alphaville - Forever Young (Official Video HD).wav']
Yahis,Andy Lau,['Forget Love Water'],['Ballads & Healing'],Hong Kong,"[""https://www.youtube.com/watch?v=j9kgtU5kb_s""]",['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/mp3/忘情水 (Love Forget Water) -  劉德華 (Andy Lau) - English lyrics.mp3'],['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/wav/忘情水 (Love Forget Water) -  劉德華 (Andy Lau) - English lyrics.wav']
Yahis,Anne-Marie,[2002],['Pop Hits'],UK,"[""https://www.youtube.com/watch?v=Il-an3K9pjg""]",['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/mp3/Anne-Marie - 2002 [Official Video].mp3'],['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/wav/Anne-Marie - 2002 [Official Video].wav']
Yahis,Ashin of Mayday,['The Wind Rises (cover)'],['Deep & Dramatic'],Taiwan,"[""https://www.youtube.com/watch?v=Y0toOamHXH0""]",['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/mp3/【Sasi】MayDay B -OTOMEKAN-「Cover」.mp3'],['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/wav/【Sasi】MayDay B -OTOMEKAN-「Cover」.wav']
Yahis,Aska Yang & Zhang Bichen,['Cool Cool'],['Ballads & Healing'],China,"[""https://www.youtube.com/watch?v=NGoOpniJwnM""]",['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/mp3/杨宗纬张碧晨现场版《凉凉》 带我们走进十里桃花林  -《歌手2017》第13期 单曲The Singer【我是歌手官方频道】.mp3'],['/Users/mq/Desktop/INFO523/Herling-Mi/_extra/_Audio_Files_/wav/杨宗纬张碧晨现场版《凉凉》 带我们走进十里桃花林  -《歌手2017》第13期 单曲The Singer【我是歌手官方频道】.wav']
