song_title,artist,country,language,fundamental_freq,freq_e_1,freq_e_2,freq_e_3,key,duration,zero_crossing_rate,mfcc_mean,mfcc_std,tempo,rms_energy,track_type
"A Great Big World, Christina Aguilera - Say Something (Lyrics)",A Great Big World; Christina Aguilera,United States,English,102.6657755,18569340,17531184,16893090,D,225.19875,0.033228449,-6.367716312,95.22106934,130.8139535,0.103258796,0
"A Great Big World, Christina Aguilera - Say Something (Lyrics)",A Great Big World; Christina Aguilera,United States,English,749.6431817,4846620,4504971.5,3641213.25,D,225.1987528,0.379399364,-32.65682983,121.4949493,132.5120192,0.047065798,1
"A Great Big World, Christina Aguilera - Say Something (Lyrics)",A Great Big World; Christina Aguilera,United States,English,104.2603473,14100830,12449699,9177287,D,225.1987528,0.021935125,-8.873971939,110.5889282,46.98153409,0.069149934,2
a-ha - Take On Me (Official Video) [4K],A-ha,Norway,English,102.7638821,97013968,73968256,63739772,A,243.968,0.070802212,3.062423229,60.01337433,170.4545455,0.179715678,0
a-ha - Take On Me (Official Video) [4K],A-ha,Norway,English,434.3063827,8508624,8336654,6917755,E,243.9680045,0.255576756,-28.0939312,108.9684753,112.3471467,0.067863323,1
a-ha - Take On Me (Official Video) [4K],aA-ha,Norway,English,102.6079537,52174488,32224478,28350880,A,243.9680045,0.081171495,-0.176267818,68.10540009,84.72079918,0.107952304,2
ABBA - Dancing Queen (Official Music Video),ABBA,Sweden,English,109.1556401,55285500,44980456,43241916,A,232.8497083,0.075146216,5.443235874,55.68019867,100.4464286,0.234719858,0
ABBA - Dancing Queen (Official Music Video),ABBA,Sweden,English,264.2407789,10272445,9202791,9102192,G#,232.8497279,0.119206916,-23.87531662,84.79477692,126.0480183,0.10926047,1
ABBA - Dancing Queen (Official Music Video),ABBA,Sweden,English,118.3968711,34131268,25981586,25311774,A,232.8497279,0.081746076,3.052110434,61.58790207,101.3327206,0.143506721,2
Adele - Someone Like You (Official Music Video),Adele,United Kingdom,English,134.3117156,38274932,32817008,32194984,A,284.928,0.042101312,-4.848369598,79.0499649,137.195122,0.154147983,0
Adele - Someone Like You (Official Music Video),Adele,United Kingdom,English,295.5873229,33829804,26102660,25788164,A,284.9280045,0.146637234,-25.25727081,88.59946442,139.6748311,0.130789995,1
Adele - Someone Like You (Official Music Video),Adele,United Kingdom,English,99.53234082,6101676,5849544.5,5739677.5,A,284.9280045,0.027369057,-8.538582802,109.8578796,135.9991776,0.060794979,2
Adele - Rolling in the Deep (Official Music Video),Adele,United Kingdom,English,168.2065396,26670332,19417566,12517798,G,233.883,0.047527244,-2.120378017,81.39253998,104.1666667,0.089349382,0
Adele - Rolling in the Deep (Official Music Video),Adele,United Kingdom,English,261.3754979,3362184.5,3094562.5,3052866.5,C,233.8830159,0.103625492,-32.11122131,98.76811218,105.46875,0.049002111,1
Adele - Rolling in the Deep (Official Music Video),Adele,United Kingdom,English,149.5746841,26131848,12431375,11860072,G,233.8830159,0.030900016,-3.339122772,99.88527679,105.46875,0.066460639,2
Ailee(에일리) _ Heaven MV,Ailee(에일리) _ Heaven MV,South Korea,Korean,177.1662852,81978264,62394268,42369072,G,223.2714792,0.071283534,-0.393322259,64.94886017,90.72580645,0.21860899,0
Ailee(에일리) _ Heaven MV,Ailee(에일리) _ Heaven MV,South Korea,Korean,283.75079,23556440,17718390,11150700,B,223.2714966,0.137346798,-27.07530975,76.47376251,117.4538352,0.127870023,1
Ailee(에일리) _ Heaven MV,Ailee(에일리) _ Heaven MV,South Korea,Korean,125.6016224,44988948,25695982,24390502,G,223.2714966,0.042314018,-3.954867125,85.31636047,90.66611842,0.103413433,2
Alphaville - Forever Young (Official Video HD),Alphaville,Germany,English,101.3022735,6725902.5,6190340.5,5919845,G,221.1004082,0.043899779,-3.444163322,84.0800705,68.90625,0.099286728,0
Alphaville - Forever Young (Official Video HD),Alphaville,Germany,English,301.5416748,2519689.25,1667251,1635442,G,221.1004082,0.18837201,-35.87515259,126.2190323,139.6748311,0.036720056,1
Alphaville - Forever Young (Official Video HD),Alphaville,Germany,English,85.97686821,6667028.5,6126950,4495667.5,G,221.1004082,0.039501017,-4.370069504,93.13492584,68.90625,0.078877151,2
忘情水 (Love Forget Water) -  劉德華 (Andy Lau) - English lyrics,刘德华,China,Chinese,95.6988713,4236210.5,3551951.25,3177494.25,C,258.03175,0.048522048,-6.272075176,93.23401642,137.195122,0.051102541,0
忘情水 (Love Forget Water) -  劉德華 (Andy Lau) - English lyrics,刘德华,China,Chinese,211.5893016,1927462.25,1758974,1389981.25,F,258.0317687,0.165051453,-28.6472187,130.6462555,135.9991776,0.026683729,1
忘情水 (Love Forget Water) -  劉德華 (Andy Lau) - English lyrics,忘情水 (L刘德华ove Forget Water),China,Chinese,91.71669522,2701897.75,1809408.125,1261783.875,C,258.0317687,0.037709456,-9.125720978,106.0834656,67.99958882,0.033941276,2
Anne-Marie - 2002 [Official Video],Anne-Marie,United Kingdom,English,212.5906403,345031904,205776368,173367152,E,194.3742404,0.078439147,3.00879097,59.8742218,129.1992188,0.296345681,0
Anne-Marie - 2002 [Official Video],Anne-Marie,United Kingdom,English,322.8635951,10391630,9938528,7512426,G#,194.3742404,0.153791358,-22.2914505,80.90528107,129.1992188,0.111684062,1
Anne-Marie - 2002 [Official Video],Anne-Marie,United Kingdom,English,285.3156194,262255616,156414384,131540416,E,194.3742404,0.045327303,-1.338029385,87.23508453,129.1992188,0.199960902,2
【Sasi】MayDay B -OTOMEKAN-「Cover」,Mayday,Taiwan,Chinese,155.9452829,76174192,43619684,31081392,D#,329.0499792,0.050908429,-16.98914337,105.1437378,92.21311475,0.103757396,0
【Sasi】MayDay B -OTOMEKAN-「Cover」,Mayday,Taiwan,Chinese,248.7503926,8708729,7261206,6429421.5,E,329.05,0.109646886,-34.5595665,123.9168854,135.9991776,0.052189071,1
【Sasi】MayDay B -OTOMEKAN-「Cover」,Mayday,Taiwan,Chinese,332.2651992,59495520,53999544,19219044,D#,329.05,0.062261501,-17.71195412,107.5979233,92.28515625,0.074395835,2
