User,Artist,Songs,Categories,Region,YT_link
Yahis,ABBA,['Dancing Queen'],['Pop Hits'],Sweden,[None]
Yahis,Adele,['Someone Like You'],['Pop Hits'],UK,[None]
Yahis,Ailee,['Heaven'],['Deep & Dramatic'],Korea,[None]
Yahis,Alphaville,['Forever Young'],['Pop Hits'],Germany,[None]
Yahis,Andy Lau,['Forget Love Water'],['Ballads & Healing'],Hong Kong,[None]
Yahis,Ashin of Mayday,['The Wind Rises (cover)'],['Deep & Dramatic'],Taiwan,[None]
Yahis,Aska Yang & Zhang Bichen,['Cool Cool'],['Ballads & Healing'],China,[None]
Yahis,Avicii,['The Nights'],['Pop Hits'],Sweden,[None]
Yahis,BIGBANG,['Day by Day'],['Deep & Dramatic'],Korea,[None]
Yahis,Bon Iver,['Skinny Love'],['Deep & Dramatic'],USA,[None]
Yahis,Bruno Mars,['Talking to the Moon'],['Deep & Dramatic'],USA,[None]
Yahis,Carly Rae Jepsen,['Call Me Maybe'],['Pop Hits'],Canada,[None]
Yahis,Chanyeol & Punch,['Stay With Me'],['Ballads & Healing'],Korea,[None]
Yahis,Crush,['Beautiful'],['Ballads & Healing'],Korea,[None]
Yahis,Cyndi Wang,['Love You'],['Ballads & Healing'],Taiwan,[None]
Yahis,Eason Chan,['Red Rose'],['Ballads & Healing'],Hong Kong,[None]
Yahis,Ed Sheeran,"['Shivers', 'The A Team']","['Pop Hits', 'Folk & Acoustic']",UK,"[None, None]"
Yahis,Harry Styles,['Watermelon Sugar'],['Pop Hits'],UK,[None]
Yahis,Hebee Tien,['A Little Happiness'],['Ballads & Healing'],Taiwan,[None]
Yahis,IU,"['Ending Scene', 'My Sea']","['Ballads & Healing', 'Ballads & Healing']",Korea,"[None, None]"
Yahis,Idina Menzel,"['Let It Go', 'Into the Unknown']","['Pop Hits', 'Soundtrack & OST']",USA,"[None, None]"
Yahis,Jack Johnson,['Banana Pancakes'],['Folk & Acoustic'],USA,[None]
Yahis,James Arthur,"[""Say You Won't Let Go""]",['Deep & Dramatic'],UK,[None]
Yahis,Jay Chou,"[""I'm Very Busy""]",['Deep & Dramatic'],Taiwan,[None]
Yahis,Kelly Clarkson,['Because of You'],['Pop Hits'],USA,[None]
Yahis,Labrinth,['Jealous'],['Deep & Dramatic'],UK,[None]
Yahis,Lady Gaga,['Always Remember Us This Way'],['Deep & Dramatic'],USA,[None]
Yahis,Lady Gaga & Bradley Cooper,['Shallow'],['Soundtrack & OST'],USA,[None]
Yahis,Lee Hi,['Breathe'],['Ballads & Healing'],Korea,[None]
Yahis,Lee Hong Gi,['Still'],['Deep & Dramatic'],Korea,[None]
Yahis,Mandy Moore & Zachary Levi,['I See the Light'],['Soundtrack & OST'],USA,[None]
Yahis,MeloMance,"['Love, Maybe']",['Ballads & Healing'],Korea,[None]
Yahis,Michael Bublé,['Home'],['Folk & Acoustic'],Canada,[None]
Yahis,One Direction,"['Story of My Life', 'Half a Heart']","['Pop Hits', 'Deep & Dramatic']",UK,"[None, None]"
Yahis,Park Hyo Shin,['Good Bye'],['Deep & Dramatic'],Korea,[None]
Yahis,Pu Shu,['Ordinary Road'],['Ballads & Healing'],China,[None]
Yahis,Queen,['Bohemian Rhapsody'],['Classic & Retro'],UK,[None]
Yahis,Radiohead,['Creep'],['Deep & Dramatic'],UK,[None]
Yahis,Rene Liu,['Later'],['Ballads & Healing'],China,[None]
Yahis,Sam Smith,"[""I'm Not The Only One""]",['Deep & Dramatic'],UK,[None]
Yahis,Silence Wang,['Smile Alluring'],['Ballads & Healing'],China,[None]
Yahis,Taeyeon ft. Dean,['Starlight'],['Ballads & Healing'],Korea,[None]
Yahis,Tanya Chua,['Red High Heels'],['Ballads & Healing'],Singapore,[None]
Yahis,Taylor Swift,"['All Too Well (10 Minute Version)', 'Back to December', 'Invisible']","['Deep & Dramatic', 'Deep & Dramatic', 'Pop Hits']",USA,"[None, None, None]"
Yahis,The Chainsmokers ft. Halsey,['Closer'],['Pop Hits'],USA,[None]
Yahis,The Weeknd,['Blinding Lights'],['Pop Hits'],Canada,[None]
Yahis,Tiger JK ft. Jinsil,['Reset'],['Deep & Dramatic'],Korea,[None]
Yahis,Toto,['Africa'],['Classic & Retro'],USA,[None]
Yahis,Uhm Jung Hwa,['Ending Credit'],['Deep & Dramatic'],Korea,[None]
Yahis,Urban Zakapa,['Wish'],['Ballads & Healing'],Korea,[None]
Yahis,Westlife,"['When You’re Looking Like That', 'Queen of My Heart']","['Pop Hits', 'Pop Hits']",Ireland,"[None, None]"
Yahis,Yisa Yu,['Time Cooks Rain'],['Ballads & Healing'],China,[None]
Yahis,Youmi Kimura,['Always With Me'],['Soundtrack & OST'],Japan,[None]
Yahis,Yoyo Sham,['Light Chaser'],['Ballads & Healing'],China,[None]
